e_cblp;e_cp;e_cparhdr;e_maxalloc;e_sp;e_lfanew;NumberOfSections;CreationYear;FH_char0;FH_char1;FH_char2;FH_char3;FH_char4;FH_char5;FH_char6;FH_char7;FH_char8;FH_char9;FH_char10;FH_char11;FH_char12;FH_char13;FH_char14;MajorLinkerVersion;MinorLinkerVersion;SizeOfCode;SizeOfInitializedData;SizeOfUninitializedData;AddressOfEntryPoint;BaseOfCode;BaseOfData;ImageBase;SectionAlignment;FileAlignment;MajorOperatingSystemVersion;MinorOperatingSystemVersion;MajorImageVersion;MinorImageVersion;MajorSubsystemVersion;MinorSubsystemVersion;SizeOfImage;SizeOfHeaders;CheckSum;Subsystem;OH_DLLchar0;OH_DLLchar1;OH_DLLchar2;OH_DLLchar3;OH_DLLchar4;OH_DLLchar5;OH_DLLchar6;OH_DLLchar7;OH_DLLchar8;OH_DLLchar9;OH_DLLchar10;SizeOfStackReserve;SizeOfStackCommit;SizeOfHeapReserve;SizeOfHeapCommit;LoaderFlags;sus_sections;non_sus_sections;packer;packer_type;E_text;E_data;filesize;E_file;fileinfo;class
144.0;3.0;4.0;65535.0;184.0;240.0;4.0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;4.0;3.0;28160.0;73216.0;0.0;14233.0;4096.0;36864.0;1;1;1;4.0;0.0;0.0;0.0;4.0;0.0;1;1;0.0;2.0;0;0;0;0;0;0;0;0;0;0;0;20971520.0;28672.0;12582912.0;40960.0;1;2.0;2.0;0;NoPacker;3.4654148274053442;1.2821540160817246;102400.0;5.700887570194522;0;1
144.0;3.0;4.0;65535.0;184.0;232.0;5.0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;10.0;10.0;41472.0;86016.0;0.0;41967.0;4096.0;49152.0;1;1;1;6.0;2.0;6.0;2.0;6.0;2.0;1;1;152369.0;2.0;1;0;1;0;0;0;0;1;0;0;0;262144.0;8192.0;1048576.0;4096.0;1;1.0;4.0;0;NoPacker;6.310539624856636;0.39267072243894613;127488.0;6.35654078716371;1;0
144.0;3.0;4.0;65535.0;184.0;264.0;4.0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;8.0;0.0;107008.0;39424.0;0.0;92753.0;4096.0;114688.0;1;1;1;4.0;0.0;0.0;0.0;5.0;1.0;1;1;176244.0;3.0;1;0;0;0;0;0;0;0;0;0;0;1048576.0;4096.0;1048576.0;4096.0;1;1.0;3.0;0;NoPacker;6.275659426619843;4.376551067453271;153424.0;6.354032197418445;1;0
144.0;3.0;4.0;65535.0;184.0;200.0;7.0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;9.0;0.0;38400.0;17408.0;0.0;6592.0;4096.0;45056.0;1;1;1;5.0;0.0;0.0;0.0;5.0;0.0;1;1;72327.0;2.0;0;0;0;0;0;0;0;1;0;0;0;1048576.0;4096.0;1048576.0;4096.0;1;5.0;2.0;0;NoPacker;6.812159132425392;1.3867257793196401;56832.0;5.319517283836251;0;1
144.0;3.0;4.0;65535.0;184.0;240.0;4.0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;9.0;0.0;150016.0;24064.0;0.0;77928.0;4096.0;155648.0;0;1;1;5.0;0.0;9.0;0.0;5.0;0.0;1;1;211174.0;2.0;1;0;1;0;0;0;0;0;0;0;0;1048576.0;4096.0;1048576.0;4096.0;1;1.0;3.0;0;NoPacker;6.527047079881794;4.056254983036233;177152.0;6.520159559664156;1;0
144.0;3.0;4.0;65535.0;184.0;280.0;5.0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;10.0;0.0;434688.0;771584.0;0.0;317016.0;4096.0;442368.0;1;1;1;5.0;1.0;0.0;0.0;5.0;1.0;1;1;1262329.0;2.0;1;0;1;0;0;0;0;0;0;0;0;1048576.0;4096.0;1048576.0;4096.0;1;1.0;4.0;0;NoPacker;6.475068216476719;5.109506114601708;1212752.0;6.63920496120583;1;0
144.0;3.0;4.0;65535.0;184.0;256.0;6.0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;5.0;15.0;14336.0;65024.0;0.0;8448.0;4096.0;20480.0;1;1;1;4.0;0.0;0.0;0.0;4.0;0.0;1;1;0.0;2.0;0;0;0;0;0;0;0;0;0;0;0;1048576.0;8192.0;1048576.0;4096.0;1;3.0;3.0;0;NoPacker;0.0;3.213594304210651;80384.0;6.34417312157296;1;1
144.0;3.0;4.0;65535.0;184.0;224.0;4.0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;9.0;0.0;3584.0;5120.0;0.0;5326.0;4096.0;8192.0;0;1;1;6.0;1.0;6.0;1.0;6.0;1.0;1;1;15153.0;2.0;1;0;1;0;0;0;0;1;0;0;0;262144.0;8192.0;1048576.0;4096.0;1;1.0;3.0;0;NoPacker;5.82920573536069;0.2990509103346658;9216.0;5.022189725136459;1;0
144.0;3.0;4.0;65535.0;184.0;264.0;5.0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;10.0;0.0;236544.0;242176.0;0.0;155974.0;4096.0;241664.0;1;1;1;5.0;1.0;0.0;0.0;5.0;1.0;1;1;488646.0;2.0;1;0;1;0;0;0;0;0;0;0;0;1048576.0;4096.0;1048576.0;4096.0;1;1.0;4.0;0;NoPacker;6.519312093725868;5.299702178502985;485200.0;6.44282714681134;1;0
80.0;2.0;4.0;65535.0;184.0;512.0;3.0;1;1;1;1;1;0;0;0;1;1;0;0;0;0;0;0;5.0;0.0;348160.0;4096.0;1712128.0;2061808.0;1716224.0;2064384.0;1;1;1;4.0;0.0;0.0;0.0;4.0;0.0;1;1;0.0;2.0;0;0;0;0;0;0;0;0;0;0;0;1048576.0;8192.0;1048576.0;4096.0;1;2.0;1.0;1;UPXProtectorv10x2;0.0;0.0;351276.0;7.893463016052882;0;1
144.0;3.0;4.0;65535.0;184.0;128.0;6.0;1;1;1;1;1;0;0;0;1;1;0;0;0;0;0;0;2.0;56.0;9216.0;35328.0;512.0;4672.0;4096.0;16384.0;1;1;1;4.0;0.0;1.0;0.0;4.0;0.0;1;1;90602.0;2.0;0;0;0;0;0;0;0;0;0;0;0;2097152.0;4096.0;1048576.0;4096.0;1;0.0;6.0;1;MinGWGCC3x;5.947270373932659;3.6087017115070874;45568.0;4.780790652001899;1;1
144.0;3.0;4.0;65535.0;184.0;240.0;4.0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;8.0;0.0;81920.0;69632.0;0.0;12736.0;4096.0;86016.0;1;1;1;4.0;0.0;0.0;0.0;4.0;0.0;1;1;0.0;2.0;0;0;0;0;0;0;0;0;0;0;0;1048576.0;4096.0;1048576.0;4096.0;1;0.0;4.0;0;NoPacker;7.357076352722276;7.748962481499652;147456.0;7.281851866851564;1;1
144.0;3.0;4.0;65535.0;184.0;232.0;4.0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;9.0;0.0;38400.0;7168.0;0.0;6992.0;4096.0;45056.0;1;1;1;5.0;0.0;0.0;0.0;5.0;0.0;1;1;77968.0;2.0;0;0;0;0;0;0;0;1;0;0;0;1048576.0;4096.0;1048576.0;4096.0;1;1.0;3.0;0;NoPacker;6.016869341867547;2.2092081141387596;46592.0;5.88476522378064;1;1
144.0;3.0;4.0;65535.0;184.0;224.0;7.0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;88.0;0.0;174080.0;43008.0;0.0;42826.0;4096.0;180224.0;1;1;1;5.0;1.0;0.0;0.0;5.0;1.0;1;1;260028.0;2.0;0;0;0;0;0;0;0;0;0;0;0;1048576.0;4096.0;1048576.0;4096.0;1;5.0;2.0;0;NoPacker;0.0;5.8760579908876815;218112.0;7.177209551230221;0;1
144.0;3.0;4.0;65535.0;184.0;128.0;3.0;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;8.0;0.0;2560.0;2048.0;0.0;10590.0;8192.0;16384.0;1;1;1;4.0;0.0;0.0;0.0;4.0;0.0;1;1;16911.0;2.0;0;0;1;0;1;0;0;0;0;0;0;1048576.0;4096.0;1048576.0;4096.0;1;1.0;2.0;1;NETexecutableMicrosoft;5.377090710095426;0.0;5120.0;4.450964778528248;1;0
144.0;3.0;4.0;65535.0;184.0;128.0;3.0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;8.0;0.0;104960.0;2560.0;0.0;112718.0;8192.0;114688.0;1;1;1;4.0;0.0;0.0;0.0;4.0;0.0;1;1;177601.0;2.0;1;0;1;0;1;0;0;1;0;0;0;1048576.0;4096.0;1048576.0;4096.0;1;1.0;2.0;1;NETexecutableMicrosoft;6.930649063017529;0.0;114080.0;6.908709667630959;0;0
144.0;3.0;4.0;65535.0;184.0;248.0;4.0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;9.0;0.0;211968.0;27648.0;0.0;68751.0;4096.0;217088.0;0;1;1;6.0;1.0;6.0;1.0;5.0;0.0;1;1;307446.0;2.0;1;0;1;0;0;0;0;0;0;0;0;262144.0;4096.0;1048576.0;4096.0;1;1.0;3.0;0;NoPacker;6.37933927895738;5.631409183240475;245120.0;6.469242662868859;1;0
144.0;3.0;4.0;65535.0;184.0;240.0;5.0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;10.0;10.0;51712.0;68096.0;0.0;52984.0;4096.0;57344.0;1;1;1;6.0;2.0;6.0;2.0;6.0;2.0;1;1;136342.0;2.0;1;0;1;0;0;0;0;1;0;0;0;262144.0;8192.0;1048576.0;4096.0;1;1.0;4.0;0;NoPacker;6.313637057681808;2.3249953565878925;119808.0;6.173435443159922;1;0
144.0;3.0;4.0;65535.0;184.0;192.0;3.0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;8.0;12.0;200704.0;4096.0;49152.0;249968.0;53248.0;253952.0;1;1;1;4.0;0.0;4.0;0.0;4.0;0.0;1;1;37.0;2.0;0;0;0;0;0;0;0;1;0;0;0;1048576.0;4096.0;1048576.0;4096.0;1;2.0;1.0;1;UPXv20MarkusLaszloReiser;0.0;0.0;200192.0;7.81621116025017;0;1
144.0;3.0;4.0;65535.0;184.0;248.0;4.0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;8.0;0.0;981504.0;94208.0;0.0;5392.0;4096.0;929792.0;0;1;1;4.0;0.0;0.0;0.0;5.0;1.0;1;1;1122519.0;3.0;1;0;0;0;0;0;0;0;0;0;0;1048576.0;4096.0;1048576.0;4096.0;1;1.0;3.0;0;NoPacker;6.709800717635467;4.13672822640826;1082144.0;6.68916087107663;1;0
144.0;3.0;4.0;65535.0;184.0;248.0;4.0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;8.0;0.0;63488.0;140288.0;0.0;63671.0;4096.0;69632.0;0;1;1;4.0;0.0;0.0;0.0;5.0;1.0;1;1;102762.0;3.0;1;0;0;0;0;0;0;0;0;0;0;1048576.0;4096.0;1048576.0;4096.0;1;1.0;3.0;0;NoPacker;6.6765170386052874;0.24905252604825584;75576.0;6.803076142524645;1;0
144.0;3.0;4.0;65535.0;184.0;240.0;5.0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;10.0;10.0;414208.0;1559040.0;0.0;415202.0;4096.0;421888.0;1;1;1;6.0;2.0;6.0;2.0;6.0;2.0;1;1;2016462.0;2.0;1;0;1;0;0;0;0;1;0;0;0;262144.0;8192.0;1048576.0;4096.0;1;1.0;4.0;0;NoPacker;5.948875450778036;2.5202423109183627;1967616.0;5.74817860072051;1;0
144.0;3.0;4.0;65535.0;184.0;192.0;4.0;1;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;6.0;0.0;512.0;2048.0;0.0;4096.0;4096.0;8192.0;1;1;1;4.0;0.0;0.0;0.0;4.0;0.0;1;1;44540.0;2.0;0;0;0;0;0;0;0;0;0;0;0;1048576.0;4096.0;1048576.0;4096.0;1;1.0;3.0;0;NoPacker;0.08153941234324169;0.0;12392.0;6.301018615702583;1;0
144.0;3.0;4.0;65535.0;184.0;248.0;4.0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;8.0;0.0;3301376.0;289280.0;0.0;2518843.0;4096.0;3305472.0;1;1;1;6.0;0.0;6.0;0.0;5.0;0.0;1;1;3534245.0;2.0;1;0;1;0;0;0;0;0;0;0;0;262144.0;4096.0;1048576.0;4096.0;1;1.0;3.0;0;NoPacker;6.541637990156399;5.869378476261325;3497832.0;6.592949657599112;1;0
144.0;3.0;4.0;65535.0;184.0;240.0;3.0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;2.0;15.0;22528.0;79872.0;0.0;18695.0;4096.0;28672.0;1;1;1;4.0;0.0;0.0;0.0;4.0;0.0;1;1;0.0;2.0;0;0;0;0;0;0;0;0;0;0;0;13631488.0;20480.0;5242880.0;16384.0;1;1.0;2.0;0;NoPacker;3.7930569493905217;0.0;103424.0;5.678276075049742;0;1
80.0;2.0;4.0;65535.0;184.0;512.0;8.0;0;0;1;1;1;0;0;1;1;0;0;0;0;0;0;1;2.0;25.0;49152.0;28672.0;0.0;4096.0;4096.0;53248.0;1;1;1;1.0;0.0;0.0;0.0;4.0;0.0;1;1;0.0;2.0;0;0;0;0;0;0;0;0;0;0;0;1048576.0;8192.0;1048576.0;4096.0;1;1.0;7.0;0;NoPacker;6.523610797825465;5.0523611913906805;68096.0;6.328046551801531;0;0
144.0;3.0;4.0;65535.0;184.0;128.0;3.0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;8.0;0.0;529408.0;56320.0;0.0;537134.0;8192.0;540672.0;1;1;1;4.0;0.0;0.0;0.0;4.0;0.0;1;1;615726.0;2.0;1;0;1;0;1;0;0;1;0;0;0;1048576.0;4096.0;1048576.0;4096.0;1;1.0;2.0;1;NETexecutableMicrosoft;6.350862006660674;0.0;592288.0;6.511642706059089;0;0
144.0;3.0;4.0;65535.0;184.0;256.0;5.0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;3.0;12.0;29184.0;88576.0;0.0;21312.0;4096.0;118784.0;1;1;1;4.0;0.0;0.0;0.0;4.0;0.0;1;1;0.0;2.0;0;0;0;0;0;0;0;0;0;0;0;6291456.0;12288.0;9437184.0;4096.0;1;3.0;2.0;0;NoPacker;0.0;0.0;118784.0;5.466240117277307;0;1
144.0;3.0;4.0;65535.0;184.0;240.0;3.0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;5.0;0.0;196608.0;4096.0;143360.0;337072.0;147456.0;344064.0;1;1;1;9.0;1.0;6.0;2.0;4.0;0.0;1;1;0.0;2.0;0;0;0;0;0;0;0;0;0;0;0;1048576.0;4096.0;1048576.0;4096.0;1;2.0;1.0;1;UPXv20MarkusLaszloReiser;0.0;0.0;197632.0;7.969827761065426;1;1
144.0;3.0;4.0;65535.0;184.0;256.0;5.0;1;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;7.0;10.0;126976.0;40960.0;0.0;81925.0;4096.0;131072.0;1;1;1;4.0;0.0;0.0;0.0;4.0;0.0;1;1;197944.0;2.0;0;0;0;0;0;0;0;0;0;0;0;1048576.0;4096.0;1048576.0;4096.0;1;1.0;4.0;0;NoPacker;6.543064915849847;2.1683117745114604;180752.0;6.278407937044622;1;0
144.0;3.0;4.0;65535.0;184.0;184.0;2.0;1;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;7.0;10.0;0.0;9216.0;0.0;0.0;4096.0;4096.0;1;1;1;4.0;0.0;0.0;0.0;4.0;0.0;1;1;33500.0;2.0;0;0;0;0;1;0;0;0;0;0;0;1048576.0;4096.0;1048576.0;4096.0;1;1.0;1.0;0;NoPacker;0.0;0.0;17008.0;5.505600891260427;0;0
144.0;3.0;4.0;65535.0;184.0;256.0;4.0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;8.0;0.0;835584.0;10645504.0;0.0;563182.0;4096.0;839680.0;1;1;1;4.0;0.0;0.0;0.0;4.0;0.0;1;1;11508044.0;2.0;0;0;0;0;0;0;0;0;0;0;0;1048576.0;4096.0;1048576.0;4096.0;1;0.0;4.0;0;NoPacker;6.595371601180705;4.641917785569238;11490688.0;7.957219958305846;1;0
144.0;3.0;4.0;65535.0;184.0;224.0;4.0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;9.0;0.0;33280.0;93696.0;0.0;8594.0;4096.0;40960.0;1;1;1;5.0;0.0;0.0;0.0;5.0;0.0;1;1;81531.0;2.0;0;0;0;0;0;0;0;1;0;0;0;1048576.0;4096.0;1048576.0;4096.0;1;0.0;4.0;0;NoPacker;6.544865679044509;2.9263875070768726;128000.0;7.520435471603959;0;1
144.0;3.0;4.0;65535.0;184.0;272.0;5.0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;9.0;0.0;682496.0;192512.0;0.0;436898.0;4096.0;688128.0;1;1;1;5.0;0.0;0.0;0.0;5.0;0.0;1;1;945986.0;2.0;1;0;1;0;0;0;0;0;0;0;0;1048576.0;4096.0;1048576.0;4096.0;1;1.0;4.0;0;NoPacker;6.637184748114086;2.9595544732203534;882400.0;6.598828136516626;1;0
144.0;3.0;4.0;65535.0;184.0;240.0;6.0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;10.0;10.0;11776.0;33280.0;512.0;13682.0;4096.0;16384.0;1;1;1;6.0;2.0;6.0;2.0;6.0;2.0;1;1;98496.0;2.0;1;1;1;0;0;0;0;1;0;0;0;262144.0;20480.0;1048576.0;4096.0;1;2.0;4.0;0;NoPacker;5.880269261045753;0.3193488039007212;45568.0;5.548625493316095;1;0
144.0;3.0;4.0;65535.0;184.0;128.0;6.0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;7.0;10.0;512.0;966144.0;0.0;4160.0;4096.0;8192.0;1;1;1;5.0;1.0;1.0;0.0;5.0;1.0;1;1;0.0;2.0;1;0;1;0;0;0;0;1;0;0;0;1048576.0;4096.0;1048576.0;4096.0;1;1.0;5.0;0;NoPacker;5.295233815872219;7.304528447456026;174592.0;7.293676162031187;1;1
144.0;3.0;4.0;65535.0;184.0;240.0;3.0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;2.0;15.0;22528.0;79872.0;0.0;18695.0;4096.0;28672.0;1;1;1;4.0;0.0;0.0;0.0;4.0;0.0;1;1;0.0;2.0;0;0;0;0;0;0;0;0;0;0;0;13631488.0;20480.0;5242880.0;16384.0;1;1.0;2.0;0;NoPacker;3.7930569493905217;0.0;103424.0;5.678268021364468;0;1
144.0;3.0;4.0;65535.0;184.0;128.0;5.0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;8.0;0.0;267776.0;7486976.0;7413760.0;4338.0;4096.0;274432.0;1;1;1;5.0;0.0;0.0;0.0;5.0;0.0;1;1;398218.0;2.0;0;0;0;0;0;0;0;1;0;0;0;1048576.0;4096.0;1048576.0;4096.0;1;0.0;5.0;0;NoPacker;7.84737481995422;7.241931747723901;342016.0;7.784862296358016;0;1
144.0;3.0;4.0;65535.0;184.0;224.0;4.0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;9.0;0.0;608768.0;73728.0;0.0;346364.0;4096.0;614400.0;0;1;1;6.0;1.0;6.0;1.0;6.0;1.0;1;1;733233.0;2.0;1;0;1;0;0;0;0;0;0;0;0;262144.0;4096.0;1048576.0;4096.0;1;1.0;3.0;0;NoPacker;6.445858069095558;4.9401157825376965;680960.0;6.55973711232383;1;0
144.0;3.0;4.0;65535.0;184.0;128.0;3.0;1;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;8.0;0.0;135168.0;8192.0;0.0;141214.0;8192.0;147456.0;1;1;1;4.0;0.0;0.0;0.0;4.0;0.0;1;1;163079.0;3.0;0;0;0;0;1;0;0;0;0;0;0;1048576.0;4096.0;1048576.0;4096.0;1;1.0;2.0;0;NoPacker;5.883729900704982;0.0;154392.0;5.695910636209397;0;0
