Feature 1,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
129690.0,0,0.203392341,44.0,1.0,0.238724147,12038.0,11.0,0.0,1.0,0.0,4.0
132165.0,0,0.705438129,56.0,1.0,0.344110662,24000.0,13.0,0.0,2.0,1.0,2.0
75287.0,0,0.05527725,48.0,1.0,0.329683409,4200.0,13.0,0.0,1.0,0.0,0.0
28262.0,1,0.973675442,35.0,0.0,0.57987114,4500.0,5.0,0.0,2.0,0.0,1.0
50592.0,0,0.678646726,44.0,0.0,0.56876939,6768.0,11.0,0.0,1.0,0.0,2.0
19542.0,0,0.465015616,41.0,1.0,0.352941176,6000.0,7.0,0.0,1.0,1.0,2.0
148655.0,0,0.065629003,64.0,0.0,2267.0,,7.0,0.0,2.0,0.0,0.0
129019.0,0,0.136033229,46.0,2.0,2503.0,,10.0,1.0,1.0,0.0,
103406.0,0,0.341910002,64.0,0.0,0.393060694,10000.0,7.0,0.0,1.0,0.0,0.0
42500.0,0,0.452989093,58.0,0.0,0.27072758,6500.0,13.0,0.0,3.0,1.0,0.0
43074.0,0,0.01904154,87.0,0.0,10.0,,2.0,0.0,0.0,0.0,0.0
117824.0,0,0.015113854,48.0,0.0,229.0,1.0,7.0,0.0,1.0,1.0,3.0
111124.0,0,0.769632396,72.0,1.0,1.317845395,2431.0,16.0,0.0,1.0,0.0,0.0
149125.0,0,0.029091319,76.0,0.0,0.106878307,10394.0,19.0,0.0,1.0,0.0,0.0
32594.0,0,0.48790242,62.0,1.0,0.256998314,2964.0,7.0,0.0,1.0,0.0,0.0
117423.0,0,0.9999999,69.0,0.0,0.165611463,3000.0,1.0,0.0,0.0,0.0,0.0
103776.0,0,0.032845492,68.0,0.0,0.002790373,2866.0,7.0,0.0,0.0,0.0,0.0
50155.0,0,0.0,56.0,0.0,0.0,2217.0,3.0,0.0,0.0,0.0,0.0
35943.0,0,0.0,59.0,1.0,0.774890044,2500.0,8.0,0.0,1.0,0.0,0.0
54924.0,0,0.9999999,30.0,0.0,0.093836757,1800.0,1.0,3.0,0.0,0.0,2.0
147912.0,0,0.003250984,76.0,0.0,0.103112111,2666.0,7.0,0.0,0.0,0.0,0.0
106000.0,0,0.055431445,43.0,0.0,0.370022908,9166.0,17.0,0.0,1.0,0.0,3.0
109823.0,0,0.356899792,63.0,0.0,0.325417766,15917.0,20.0,0.0,2.0,0.0,1.0
50863.0,0,0.138243331,50.0,1.0,1.058811998,5100.0,11.0,0.0,3.0,0.0,0.0
17993.0,0,0.082958707,78.0,0.0,0.057662737,7803.0,8.0,0.0,0.0,0.0,0.0
48540.0,0,0.135714629,88.0,2.0,0.448887778,4000.0,17.0,0.0,1.0,0.0,0.0
83964.0,0,1.329529399,38.0,0.0,0.413760267,8400.0,7.0,0.0,1.0,0.0,2.0
16876.0,0,0.102561668,46.0,0.0,0.255025787,9500.0,15.0,0.0,2.0,1.0,0.0
111686.0,0,0.287709586,56.0,0.0,1.050893669,3300.0,14.0,0.0,3.0,0.0,0.0
115695.0,0,0.298119267,55.0,1.0,0.471932638,9975.0,20.0,0.0,5.0,0.0,1.0
105581.0,0,0.010511868,83.0,0.0,0.007248188,4000.0,7.0,0.0,0.0,0.0,0.0
48402.0,0,0.091413191,65.0,0.0,0.414482572,3700.0,18.0,0.0,1.0,0.0,1.0
21141.0,0,0.000620647,64.0,0.0,0.0,,2.0,0.0,0.0,0.0,
140067.0,0,0.010415416,68.0,0.0,0.106752412,4664.0,11.0,0.0,1.0,0.0,0.0
100154.0,0,0.9999999,63.0,0.0,2587.0,0.0,3.0,0.0,1.0,0.0,0.0
122302.0,0,0.621211174,28.0,0.0,0.365163148,2083.0,7.0,0.0,0.0,0.0,0.0
126955.0,0,0.0,43.0,0.0,0.646037736,5299.0,9.0,0.0,2.0,0.0,2.0
125855.0,0,0.390523088,54.0,1.0,0.433277785,7800.0,15.0,0.0,1.0,0.0,2.0
93592.0,0,0.088831211,36.0,1.0,0.561367381,2427.0,7.0,0.0,0.0,1.0,0.0
122674.0,0,0.9999999,53.0,0.0,0.632564214,2296.0,8.0,0.0,1.0,0.0,0.0
147687.0,0,0.017107403,80.0,0.0,9.0,,6.0,0.0,0.0,0.0,
122076.0,1,0.063367087,35.0,0.0,0.419326015,7833.0,10.0,0.0,2.0,0.0,1.0
32189.0,0,0.186393687,45.0,0.0,0.054638456,4300.0,4.0,0.0,0.0,0.0,0.0
32441.0,0,0.0,69.0,0.0,0.39052751,3525.0,6.0,0.0,1.0,0.0,0.0
130744.0,0,0.700643115,35.0,0.0,0.311172207,4000.0,9.0,0.0,0.0,0.0,0.0
144015.0,0,0.025870768,63.0,0.0,25.0,,3.0,0.0,0.0,0.0,0.0
130002.0,0,0.017750558,45.0,0.0,30.0,,7.0,0.0,0.0,0.0,0.0
65702.0,0,0.17552496,58.0,0.0,0.217590239,3933.0,4.0,0.0,1.0,0.0,1.0
5299.0,0,0.170516344,34.0,0.0,0.77782826,2200.0,7.0,0.0,1.0,0.0,0.0
35654.0,0,0.0,55.0,1.0,4656.0,,8.0,0.0,1.0,0.0,2.0
5638.0,0,0.054274782,66.0,0.0,1343.0,,10.0,0.0,1.0,0.0,
134707.0,0,0.383019129,42.0,0.0,0.645048439,3715.0,9.0,0.0,0.0,0.0,1.0
56208.0,1,0.713423619,47.0,0.0,0.414954896,9200.0,8.0,0.0,1.0,0.0,2.0
49006.0,0,0.152843926,50.0,0.0,0.38869005,6984.0,11.0,0.0,2.0,0.0,0.0
4024.0,0,0.082265249,23.0,0.0,0.012267151,2200.0,3.0,0.0,0.0,0.0,0.0
55523.0,0,0.300372746,38.0,0.0,0.758825045,3880.0,12.0,0.0,2.0,0.0,0.0
142558.0,0,0.047544431,52.0,0.0,0.370543152,3000.0,4.0,0.0,1.0,0.0,1.0
119607.0,0,0.012443523,46.0,0.0,0.417058294,10000.0,5.0,0.0,2.0,0.0,0.0
81112.0,0,0.0,79.0,0.0,0.0,,4.0,0.0,0.0,0.0,
107628.0,0,0.015374834,83.0,0.0,619.0,,2.0,0.0,1.0,0.0,0.0
98487.0,0,0.132243648,37.0,0.0,0.013033079,61458.0,7.0,0.0,0.0,0.0,2.0
110857.0,0,0.667907711,59.0,1.0,0.414101909,45000.0,17.0,0.0,4.0,0.0,3.0
20546.0,0,0.21897485,54.0,0.0,0.28924896,4566.0,11.0,0.0,1.0,0.0,2.0
31129.0,0,0.11160877,65.0,0.0,0.142582742,6767.0,6.0,0.0,1.0,0.0,1.0
108487.0,0,0.029339024,70.0,0.0,0.022044088,4490.0,5.0,0.0,0.0,0.0,0.0
87512.0,0,0.779654604,58.0,1.0,0.393414211,7500.0,10.0,0.0,1.0,0.0,0.0
102305.0,0,0.001109611,83.0,0.0,5.0,,9.0,0.0,0.0,0.0,
9602.0,0,0.391339736,53.0,0.0,0.467187784,5500.0,8.0,0.0,1.0,0.0,2.0
132233.0,0,0.048686519,72.0,0.0,118.0,,5.0,0.0,0.0,0.0,
23085.0,0,0.449731856,32.0,0.0,0.610280619,7625.0,17.0,0.0,2.0,0.0,1.0
89326.0,0,0.962853191,47.0,3.0,0.149764465,11250.0,14.0,0.0,0.0,0.0,0.0
146417.0,0,0.03360833,65.0,0.0,0.156612145,15100.0,8.0,0.0,2.0,0.0,1.0
35376.0,0,0.567153705,59.0,0.0,1.024743814,4000.0,20.0,0.0,3.0,0.0,2.0
101483.0,0,0.097929761,41.0,0.0,0.718253968,4535.0,14.0,0.0,2.0,0.0,3.0
60703.0,0,0.366183608,36.0,0.0,0.205867891,6100.0,9.0,0.0,0.0,0.0,2.0
38125.0,0,0.01469853,72.0,0.0,0.255819534,4166.0,5.0,0.0,1.0,0.0,0.0
53842.0,0,0.066946653,68.0,0.0,0.094260383,6428.0,7.0,0.0,1.0,0.0,0.0
71756.0,0,0.797157963,45.0,1.0,0.59744489,7983.0,11.0,0.0,2.0,0.0,1.0
54867.0,0,0.0,32.0,0.0,0.2960199,4019.0,4.0,0.0,1.0,0.0,0.0
138249.0,0,1.003124609,44.0,0.0,0.393477743,4200.0,8.0,0.0,0.0,0.0,0.0
64884.0,0,0.913520191,29.0,0.0,0.371582855,2962.0,6.0,0.0,0.0,0.0,2.0
87831.0,0,0.02685984,54.0,0.0,677.0,,6.0,0.0,1.0,0.0,0.0
48925.0,0,0.0,62.0,0.0,0.001999334,3000.0,10.0,0.0,0.0,0.0,0.0
123192.0,0,0.301697493,58.0,0.0,4797.0,,14.0,0.0,1.0,0.0,0.0
148973.0,0,0.492709356,54.0,0.0,0.150690941,4558.0,7.0,0.0,0.0,0.0,0.0
95123.0,0,0.011103065,65.0,0.0,9.0,,2.0,0.0,0.0,0.0,0.0
78124.0,0,0.331605546,72.0,1.0,0.203554568,3600.0,4.0,0.0,1.0,0.0,0.0
